#Codigo;Tipo;posX;posY;vel;life
0;1;8;-11;45;60
0;1;8;-12;45;60
0;1;8;-13;45;60
0;1;8;-14;45;60
0;1;8;-15;45;60
0;1;8;-16;45;60
0;1;8;-17;45;60
0;1;8;-18;45;60
0;1;8;-19;45;60
0;1;8;-20;45;60
0;1;8;-21;45;60
0;1;8;-22;45;60
0;1;108;8;45;60
0;1;109;8;45;60
0;1;110;8;45;60
0;1;111;8;45;60
0;1;112;8;45;60
0;1;113;8;45;60
0;1;114;8;45;60
0;1;115;8;45;60
0;1;116;8;45;60
0;1;117;8;45;60
0;1;118;8;45;60
0;1;119;8;45;60
0;1;92;108;45;60
0;1;92;109;45;60
0;1;92;110;45;60
0;1;92;111;45;60
0;1;92;112;45;60
0;1;92;113;45;60
0;1;92;114;45;60
0;1;92;115;45;60
0;1;92;116;45;60
0;1;92;117;45;60
0;1;92;118;45;60
0;1;92;119;45;60
